label,a0,a1,a2,a3,a4,a5
1,1,32,5.4,3.4,1.5,0.4
1,2,41,5,3.5,1.3,0.3
0,3,55,6.5,2.8,4.6,1.5
0,4,71,5.9,3.2,4.8,1.8
0,5,79,6,2.9,4.5,1.5
0,6,87,6.7,3.1,4.7,1.5
0,7,93,5.8,2.6,4,1.2
1,8,1,5.1,3.5,1.4,0.2
1,9,9,4.4,2.9,1.4,0.2
1,10,14,4.3,3,1.1,0.1
1,11,40,5.1,3.4,1.5,0.2
0,12,60,5.2,2.7,3.9,1.4
0,13,95,5.6,2.7,4.2,1.3
1,14,17,5.4,3.9,1.3,0.4
1,15,20,5.1,3.8,1.5,0.3
1,16,24,5.1,3.3,1.7,0.5
1,17,28,5.2,3.5,1.5,0.2
1,18,36,5,3.2,1.2,0.2
1,19,44,5,3.5,1.6,0.6
1,20,47,5.1,3.8,1.6,0.2
1,21,50,5,3.3,1.4,0.2
0,22,59,6.6,2.9,4.6,1.3
0,23,70,5.6,2.5,3.9,1.1
0,24,75,6.4,2.9,4.3,1.3
0,25,82,5.5,2.4,3.7,1
0,26,85,5.4,3,4.5,1.5
0,27,89,5.6,3,4.1,1.3
0,28,100,5.7,2.8,4.1,1.3
1,29,4,4.6,3.1,1.5,0.2
1,30,8,5,3.4,1.5,0.2
1,31,11,5.4,3.7,1.5,0.2
1,32,27,5,3.4,1.6,0.4
0,33,53,6.9,3.1,4.9,1.5
0,34,63,6,2.2,4,1
0,35,66,6.7,3.1,4.4,1.4
0,36,91,5.5,2.6,4.4,1.2
0,37,97,5.7,2.9,4.2,1.3
1,38,2,4.9,3,1.4,0.2
1,39,10,4.9,3.1,1.5,0.1
1,40,23,4.6,3.6,1,0.2
1,41,30,4.7,3.2,1.6,0.2
1,42,35,4.9,3.1,1.5,0.1
1,43,37,5.5,3.5,1.3,0.2
1,44,49,5.3,3.7,1.5,0.2
0,45,58,4.9,2.4,3.3,1
0,46,69,6.2,2.2,4.5,1.5
0,47,74,6.1,2.8,4.7,1.2
0,48,81,5.5,2.4,3.8,1.1
0,49,84,6,2.7,5.1,1.6
1,50,7,4.6,3.4,1.4,0.3
1,51,16,5.7,4.4,1.5,0.4
1,52,26,5,3,1.6,0.2
0,53,62,5.9,3,4.2,1.5
0,54,67,5.6,3,4.5,1.5
1,55,34,5.5,4.2,1.4,0.2
1,56,39,4.4,3,1.3,0.2
1,57,43,4.4,3.2,1.3,0.2
1,58,46,4.8,3,1.4,0.3
0,59,52,6.4,3.2,4.5,1.5
0,60,77,6.8,2.8,4.8,1.4
0,61,88,6.3,2.3,4.4,1.3
0,62,94,5,2.3,3.3,1
0,63,96,5.7,3,4.2,1.2
1,64,5,5,3.6,1.4,0.2
1,65,13,4.8,3,1.4,0.1
1,66,22,5.1,3.7,1.5,0.4
0,67,57,6.3,3.3,4.7,1.6
0,68,65,5.6,2.9,3.6,1.3
0,69,72,6.1,2.8,4,1.3
0,70,78,6.7,3,5,1.7
0,71,90,5.5,2.5,4,1.3
1,72,3,4.7,3.2,1.3,0.2
1,73,12,4.8,3.4,1.6,0.2
1,74,29,5.2,3.4,1.4,0.2
1,75,38,4.9,3.1,1.5,0.1
0,76,51,7,3.2,4.7,1.4
0,77,61,5,2,3.5,1
0,78,68,5.8,2.7,4.1,1
0,79,76,6.6,3,4.4,1.4
0,80,80,5.7,2.6,3.5,1
0,81,83,5.8,2.7,3.9,1.2
0,82,98,6.2,2.9,4.3,1.3
1,83,18,5.1,3.5,1.4,0.3
1,84,21,5.4,3.4,1.7,0.2
1,85,31,4.8,3.1,1.6,0.2
1,86,33,5.2,4.1,1.5,0.1
1,87,42,4.5,2.3,1.3,0.3
1,88,45,5.1,3.8,1.9,0.4
0,89,56,5.7,2.8,4.5,1.3
0,90,73,6.3,2.5,4.9,1.5
0,91,86,6,3.4,4.5,1.6
0,92,92,6.1,3,4.6,1.4
1,93,6,5.4,3.9,1.7,0.4
1,94,15,5.8,4,1.2,0.2
1,95,19,5.7,3.8,1.7,0.3
1,96,25,4.8,3.4,1.9,0.2
1,97,48,4.6,3.2,1.4,0.2
0,98,54,5.5,2.3,4,1.3
0,99,64,6.1,2.9,4.7,1.4
0,100,99,5.1,2.5,3,1.1
0,101,64,6.1,2.9,4.7,0.1
0,102,99,5.1,2.5,3,0.2
1,103,21,5.4,3.4,1.7,1.2
1,104,31,4.8,3.1,1.6,1.3
1,105,33,5.2,4.1,1.5,1.5
