IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
000003-01012017,01.Jan.17,00:04:27,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,E9,E09000012,HACKNEY,E05009379,KING'S PARK,NULL,NULL,536650,185450,London,Homerton,NULL,,NULL,,1,1
000004-01012017,01.Jan.17,00:06:18,False Alarm,AFA,,Non Residential,Engineering manufacturing plant,Nearby address - street not listed in gazetteer,SE2 9SG,SE2,E09000011,GREENWICH,E05000214,ABBEY WOOD,547178,179210,547150,179250,London,Plumstead,835,Plumstead,NULL,,1,1
000005-01012017,01.Jan.17,00:06:34,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N1,E09000019,ISLINGTON,E05000366,BARNSBURY,NULL,NULL,530750,183050,London,Euston,237,Euston,NULL,,1,1
000006-01012017,01.Jan.17,00:07:57,Fire,Primary Fire,,Non Residential,Restaurant/cafe,Correct incident location,IG11 8TB,IG11,E09000002,BARKING AND DAGENHAM,E05000026,ABBEY,544654,184596,544650,184550,London,Barking,282,Barking,NULL,,1,2
000007-01012017,01.Jan.17,00:08:59,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SW8,E09000022,LAMBETH,E05000426,OVAL,NULL,NULL,530150,177950,London,Lambeth,NULL,,NULL,,1,1
000008-01012017,01.Jan.17,00:12:44,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,UB6 8LY,UB6,E09000009,EALING,E05000178,GREENFORD GREEN,514211,183917,514250,183950,London,Northolt,415,Northolt,420,Northolt,1,2
000009-01012017,01.Jan.17,00:13:27,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,EC1Y 8LZ,EC1Y,E09000019,ISLINGTON,E05000367,BUNHILL,532603,182151,532650,182150,London,Shoreditch,230,Shoreditch,NULL,,1,1
000011-01012017,01.Jan.17,00:17:35,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,HA1,E09000005,BRENT,E05000096,NORTHWICK PARK,NULL,NULL,516750,187450,London,Wembley,421,Wembley,442,Wembley,1,2
000013-01012017,01.Jan.17,00:20:01,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,On land associated with building,IG5 0AZ,IG5,E09000026,REDBRIDGE,E05000496,BARKINGSIDE,542787,188990,542750,188950,London,Ilford,415,Ilford,882,Woodford,2,2
000015-01012017,01.Jan.17,00:22:37,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,E9,E09000012,HACKNEY,E05009379,KING'S PARK,NULL,NULL,536650,185450,London,Homerton,NULL,,NULL,,1,1
000016-01012017,01.Jan.17,00:24:01,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SW9,E09000022,LAMBETH,E05000421,FERNDALE,NULL,NULL,531050,176250,London,Brixton,NULL,,NULL,,1,1
000017-01012017,01.Jan.17,00:24:10,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Correct incident location,,NW6,E09000005,BRENT,E05000098,QUEENS PARK,NULL,NULL,523750,183350,London,North Kensington,292,North Kensington,NULL,,1,1
000019-01012017,01.Jan.17,00:28:08,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW8,E09000033,WESTMINSTER,E05000630,ABBEY ROAD,NULL,NULL,526850,183250,London,Paddington,281,West Hampstead,290,Paddington,3,4
000023-01012017,01.Jan.17,00:29:51,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N5,E09000019,ISLINGTON,E05000377,MILDMAY,NULL,NULL,532450,185150,London,Islington,243,Islington,255,Stoke Newington,4,4
000030-01012017,01.Jan.17,00:33:41,Fire,Primary Fire,,Non Residential,Private Garden Shed ,Correct incident location,,RM8,E09000002,BARKING AND DAGENHAM,E05000040,VALENCE,NULL,NULL,547850,187450,London,Dagenham,327,Dagenham,422,Romford,2,2
000031-01012017,01.Jan.17,00:36:52,Fire,Primary Fire,,Non Residential,Pub/wine bar/bar ,Correct incident location,W3 9BH,W3,E09000009,EALING,E05000188,SOUTH ACTON,519802,180251,519850,180250,London,Acton,131,Acton,302,Chiswick,4,4
000042-01012017,01.Jan.17,00:40:22,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,N4,E09000014,HARINGEY,E05000278,SEVEN SISTERS,NULL,NULL,532350,188150,London,Tottenham,381,Holloway,459,Tottenham,2,2
000043-01012017,01.Jan.17,00:40:40,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SE17,E09000028,SOUTHWARK,E05000544,NEWINGTON,NULL,NULL,531750,177550,London,Lambeth,425,Peckham,NULL,,1,1
000045-01012017,01.Jan.17,00:42:14,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,UB5 4JF,UB5,E09000009,EALING,E05000184,NORTHOLT MANDEVILLE,512576,184822,512550,184850,London,Northolt,298,Northolt,NULL,,1,1
000046-01012017,01.Jan.17,00:46:32,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,SE18 6LQ,SE18,E09000011,GREENWICH,E05000230,WOOLWICH RIVERSIDE,543535,178991,543550,178950,London,Plumstead,286,Plumstead,NULL,,1,1
000048-01012017,01.Jan.17,00:47:35,False Alarm,AFA,,Non Residential,Multi-Storey car park,Within same building,E14 9SD,E14,E09000030,TOWER HAMLETS,E05009318,BLACKWALL & CUBITT TOWN,538153,179788,538150,179750,London,Millwall,104,Millwall,NULL,,1,1
000049-01012017,01.Jan.17,00:47:43,Fire,Secondary Fire,,Outdoor,Park ,On land associated with building,N1 6TA,N1,E09000012,HACKNEY,E05009377,HOXTON EAST & SHOREDITCH,532806,183457,532850,183450,London,Shoreditch,332,Shoreditch,NULL,,1,1
000051-01012017,01.Jan.17,00:50:06,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,E6 3EU,E6,E09000025,NEWHAM,E05000476,BOLEYN,541703,182755,541750,182750,London,East Ham,262,Plaistow,NULL,,1,1
000052-01012017,01.Jan.17,00:53:10,Special Service,Special Service,Medical Incident - Co-responder,Non Residential,Pub/wine bar/bar ,Correct incident location,SW9 9BT,SW9,E09000022,LAMBETH,E05000425,LARKHALL,530055,175710,530050,175750,London,Clapham,3,Tooting,NULL,,1,1
